# solver	iter	max-exp-congestion	stddev
ecmp	0	1.800000	0.000000
ecmp	1	1.800000	0.000000
ecmp	2	1.800000	0.000000
ecmp	3	1.800000	0.000000
ecmp	4	1.800000	0.000000
ecmp	5	1.800000	0.000000
ecmp	6	1.800000	0.000000
ecmp	7	1.800000	0.000000
ecmp	8	1.800000	0.000000
ecmp	9	1.800000	0.000000
ksp	0	1.200000	0.000000
ksp	1	1.200000	0.000000
ksp	2	1.200000	0.000000
ksp	3	1.200000	0.000000
ksp	4	1.200000	0.000000
ksp	5	1.200000	0.000000
ksp	6	1.200000	0.000000
ksp	7	1.200000	0.000000
ksp	8	1.200000	0.000000
ksp	9	1.200000	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.400000	0.000000
mcf	2	0.400000	0.000000
mcf	3	0.400000	0.000000
mcf	4	0.400000	0.000000
mcf	5	0.400000	0.000000
mcf	6	0.400000	0.000000
mcf	7	0.400000	0.000000
mcf	8	0.400000	0.000000
mcf	9	0.400000	0.000000
mwmcf	0	1.800000	0.000000
mwmcf	1	1.800000	0.000000
mwmcf	2	1.800000	0.000000
mwmcf	3	1.800000	0.000000
mwmcf	4	1.800000	0.000000
mwmcf	5	1.800000	0.000000
mwmcf	6	1.800000	0.000000
mwmcf	7	1.800000	0.000000
mwmcf	8	1.800000	0.000000
mwmcf	9	1.800000	0.000000
raeke	0	0.806941	0.000000
raeke	1	0.806941	0.000000
raeke	2	0.806941	0.000000
raeke	3	0.821414	0.000000
raeke	4	0.815057	0.000000
raeke	5	0.839487	0.000000
raeke	6	0.735322	0.000000
raeke	7	0.824356	0.000000
raeke	8	0.855710	0.000000
raeke	9	0.842634	0.000000
semimcfecmp	0	1.800000	0.000000
semimcfecmp	1	1.800000	0.000000
semimcfecmp	2	1.800000	0.000000
semimcfecmp	3	1.800000	0.000000
semimcfecmp	4	1.800000	0.000000
semimcfecmp	5	1.800000	0.000000
semimcfecmp	6	1.800000	0.000000
semimcfecmp	7	1.800000	0.000000
semimcfecmp	8	1.800000	0.000000
semimcfecmp	9	1.800000	0.000000
semimcfksp	0	0.600000	0.000000
semimcfksp	1	0.600000	0.000000
semimcfksp	2	0.600000	0.000000
semimcfksp	3	0.600000	0.000000
semimcfksp	4	0.600000	0.000000
semimcfksp	5	0.600000	0.000000
semimcfksp	6	0.600000	0.000000
semimcfksp	7	0.600000	0.000000
semimcfksp	8	0.600000	0.000000
semimcfksp	9	0.600000	0.000000
semimcfmcf	0	0.400000	0.000000
semimcfmcf	1	0.400000	0.000000
semimcfmcf	2	0.400000	0.000000
semimcfmcf	3	0.400000	0.000000
semimcfmcf	4	0.400000	0.000000
semimcfmcf	5	0.400000	0.000000
semimcfmcf	6	0.400000	0.000000
semimcfmcf	7	0.400000	0.000000
semimcfmcf	8	0.400000	0.000000
semimcfmcf	9	0.400000	0.000000
semimcfraeke	0	0.435714	0.000000
semimcfraeke	1	0.435714	0.000000
semimcfraeke	2	0.435714	0.000000
semimcfraeke	3	0.480000	0.000000
semimcfraeke	4	0.436231	0.000000
semimcfraeke	5	0.468571	0.000000
semimcfraeke	6	0.422236	0.000000
semimcfraeke	7	0.400000	0.000000
semimcfraeke	8	0.445217	0.000000
semimcfraeke	9	0.400000	0.000000
semimcfvlb	0	0.400000	0.000000
semimcfvlb	1	0.400000	0.000000
semimcfvlb	2	0.400000	0.000000
semimcfvlb	3	0.450000	0.000000
semimcfvlb	4	0.400000	0.000000
semimcfvlb	5	0.400000	0.000000
semimcfvlb	6	0.400000	0.000000
semimcfvlb	7	0.450000	0.000000
semimcfvlb	8	0.400000	0.000000
semimcfvlb	9	0.400000	0.000000
spf	0	1.800000	0.000000
spf	1	1.800000	0.000000
spf	2	1.800000	0.000000
spf	3	1.800000	0.000000
spf	4	1.800000	0.000000
spf	5	1.800000	0.000000
spf	6	1.800000	0.000000
spf	7	1.800000	0.000000
spf	8	1.800000	0.000000
spf	9	1.800000	0.000000
vlb	0	1.289821	0.000000
vlb	1	1.406961	0.000000
vlb	2	1.585375	0.000000
vlb	3	1.419430	0.000000
vlb	4	1.347273	0.000000
vlb	5	1.496266	0.000000
vlb	6	1.322516	0.000000
vlb	7	1.412176	0.000000
vlb	8	1.329931	0.000000
vlb	9	1.347767	0.000000

