# solver	iter	total-throughput	stddev
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.000000	0.000000
spf	3	0.000000	0.000000
spf	4	0.000000	0.000000
spf	5	0.000000	0.000000
spf	6	0.000000	0.000000
spf	7	0.000000	0.000000
spf	8	0.000000	0.000000
spf	9	0.000000	0.000000
spf	10	0.000000	0.000000
spf	11	0.000000	0.000000
spf	12	0.000000	0.000000
spf	13	0.000000	0.000000
spf	14	0.000000	0.000000
spf	15	0.000000	0.000000
spf	16	0.000000	0.000000
spf	17	0.000000	0.000000
spf	18	0.000000	0.000000
spf	19	0.000000	0.000000
spf	20	0.000000	0.000000
spf	21	0.000000	0.000000
spf	22	0.000000	0.000000
spf	23	0.000000	0.000000
spf	24	0.000000	0.000000
spf	25	0.000000	0.000000
spf	26	0.000000	0.000000
spf	27	0.000000	0.000000
spf	28	0.000000	0.000000
spf	29	0.000000	0.000000
spf	30	0.000000	0.000000
spf	31	0.000000	0.000000
spf	32	0.000000	0.000000
spf	33	0.000000	0.000000
spf	34	0.000000	0.000000
spf	35	0.000000	0.000000

