# solver	iter	edge-congestion
akecmp	0	
		(h3,s3) : 0.0558793544769
		(s3,h3) : 0.0558793544769
		(s3,s1) : 0.931322574615
		(s3,s2) : 0.931322574615
		(s3,s4) : 0.931322574615
		(s3,s5) : 0.931322574615
		(s3,s16) : 0.931322574615
		(s3,s18) : 0.931322574615
		(h4,s4) : 0.0558793544769
		(s4,h4) : 0.0558793544769
		(s4,s3) : 0.931322574615
		(s4,s7) : 0.931322574615
		(s4,s8) : 0.931322574615
		(s4,s11) : 0.931322574615
		(s4,s15) : 0.931322574615
		(s4,s17) : 0.931322574615
		(h5,s5) : 0.0465661287308
		(s5,h5) : 0.0465661287308
		(s5,s3) : 0.931322574615
		(s5,s9) : 0.931322574615
		(s5,s14) : 0.931322574615
		(s5,s16) : 0.931322574615
		(s5,s17) : 0.931322574615
		(h6,s6) : 0.0465661287308
		(s6,h6) : 0.0465661287308
		(s6,s0) : 0.931322574615
		(s6,s7) : 0.931322574615
		(s6,s8) : 0.931322574615
		(s6,s10) : 0.931322574615
		(s6,s19) : 0.931322574615
		(h7,s7) : 0.0465661287308
		(s7,h7) : 0.0465661287308
		(s7,s4) : 0.931322574615
		(s7,s6) : 0.931322574615
		(s7,s13) : 0.931322574615
		(s7,s14) : 0.931322574615
		(s7,s15) : 0.931322574615
		(h8,s8) : 0.0465661287308
		(s8,h8) : 0.0465661287308
		(s8,s2) : 0.931322574615
		(s8,s4) : 0.931322574615
		(s8,s6) : 0.931322574615
		(s8,s11) : 0.931322574615
		(s8,s13) : 0.931322574615
		(h9,s9) : 0.0465661287308
		(s9,h9) : 0.0465661287308
		(s9,s1) : 0.931322574615
		(s9,s2) : 0.931322574615
		(s9,s5) : 0.931322574615
		(s9,s13) : 0.931322574615
		(s9,s17) : 0.931322574615
		(h10,s10) : 0.0465661287308
		(s10,h10) : 0.0465661287308
		(s10,s0) : 0.931322574615
		(s10,s6) : 0.931322574615
		(s10,s12) : 0.931322574615
		(s10,s14) : 0.931322574615
		(s10,s17) : 0.931322574615
		(h11,s11) : 0.0838190317154
		(s11,h11) : 0.0838190317154
		(s11,s1) : 0.931322574615
		(s11,s2) : 0.931322574615
		(s11,s4) : 0.931322574615
		(s11,s8) : 0.931322574615
		(s11,s12) : 0.931322574615
		(s11,s13) : 0.931322574615
		(s11,s15) : 0.931322574615
		(s11,s16) : 0.931322574615
		(s11,s17) : 0.931322574615
		(h12,s12) : 0.0465661287308
		(s12,h12) : 0.0465661287308
		(s12,s2) : 0.931322574615
		(s12,s10) : 0.931322574615
		(s12,s11) : 0.931322574615
		(s12,s14) : 0.931322574615
		(s12,s19) : 0.931322574615
		(h13,s13) : 0.0465661287308
		(s13,h13) : 0.0465661287308
		(s13,s7) : 0.931322574615
		(s13,s8) : 0.931322574615
		(s13,s9) : 0.931322574615
		(s13,s11) : 0.931322574615
		(s13,s19) : 0.931322574615
		(h14,s14) : 0.0931322574615
		(s14,h14) : 0.0931322574615
		(s14,s0) : 0.931322574615
		(s14,s5) : 0.931322574615
		(s14,s7) : 0.931322574615
		(s14,s10) : 0.931322574615
		(s14,s12) : 0.931322574615
		(s14,s15) : 0.931322574615
		(s14,s16) : 0.931322574615
		(s14,s17) : 0.931322574615
		(s14,s18) : 0.931322574615
		(s14,s19) : 0.931322574615
		(h15,s15) : 0.0558793544769
		(s15,h15) : 0.0558793544769
		(s15,s0) : 0.931322574615
		(s15,s2) : 0.931322574615
		(s15,s4) : 0.931322574615
		(s15,s7) : 0.931322574615
		(s15,s11) : 0.931322574615
		(s15,s14) : 0.931322574615
		(h16,s16) : 0.0558793544769
		(s16,h16) : 0.0558793544769
		(s16,s2) : 0.931322574615
		(s16,s3) : 0.931322574615
		(s16,s5) : 0.931322574615
		(s16,s11) : 0.931322574615
		(s16,s14) : 0.931322574615
		(s16,s17) : 0.931322574615
		(h17,s17) : 0.0931322574615
		(s17,h17) : 0.0931322574615
		(s17,s0) : 0.931322574615
		(s17,s4) : 0.931322574615
		(s17,s5) : 0.931322574615
		(s17,s9) : 0.931322574615
		(s17,s10) : 0.931322574615
		(s17,s11) : 0.931322574615
		(s17,s14) : 0.931322574615
		(s17,s16) : 0.931322574615
		(s17,s18) : 0.931322574615
		(s17,s19) : 0.931322574615
